id;name;category;company
1;Steel;Assistant;cross-platform Principal
2;wireless Computer;reboot magenta THX;THX
3;Centers Metal navigating;partnerships Infrastructure;transmitting New Bedfordshire
4;Malagasy intranet;neutral;Bike
5;Computer CFP orange;Village;distributed indigo JSON
6;Personal Steel;solutions;Prairie
7;invoice;Bike Shoes Center;tangible
8;Cheese Renminbi;Consultant online;project hacking efficient
9;mobile metrics;lavender application grey;up
10;systems Gorgeous;Brand;Plastic Cambridgeshire
