id;name;category;price;units;jhi_from;company
1;Rubber;model;80418;37192;Qatari Exclusive Avon;mobile
2;structure Sausages salmon;lavender;17743;49929;transmitter Mandatory;Wooden Regional Shilling
3;red;generate withdrawal compressing;44702;91714;optical Beauty;Card
4;global Avon Account;Sao Re-contextualized;62332;62820;Soap Nevada infrastructures;Islands
5;RSS Tools Refined;virtual program;28280;39493;green Internal Alaska;Table
6;primary foreground Paraguay;CSS leverage Buckinghamshire;58718;18037;initiatives;optical e-commerce Plastic
7;application;Grocery;14260;24287;Awesome payment visualize;Wooden programming blue
8;calculate;Associate facilitate;7267;32880;Corner Tasty Wooden;client-server compress
9;compress Electronics well-modulated;purple eyeballs;30438;24593;Ergonomic bypass attitude;Buckinghamshire Afghanistan 1080p
10;Technician RSS;Account front-end;91693;1247;Colorado interface;back
