id;name;category;price;units;company
1;Berkshire Licensed gold;FTP Balanced Movies;89215;75295;target
2;application Unbranded Personal;e-business;42080;53017;open-source wireless
3;Tennessee Beauty Assistant;teal Bedfordshire;17669;64762;Consultant sensor
4;state;bus Buckinghamshire Missouri;47119;91954;Vision-oriented Connecticut Flats
5;Future process Intelligent;Illinois extensible HTTP;88338;92554;Bedfordshire
6;Borders empower;Business-focused syndicate Assurance;52532;71260;leading-edge Cambridgeshire
7;Profound Concrete Manager;policy District overriding;58276;82627;overriding
8;redundant;Swaziland hack Montana;74115;14041;Rupee Intelligent Investment
9;Strategist Home projection;Engineer;8498;85479;copy
10;Extension productize National;withdrawal;33460;46075;Computer
