id;name;category;purchase_price;sale_price;units;company
1;infomediaries CSS;drive Cambridgeshire;46066;20856;85087;Saint Card Fresh
2;microchip;leverage Cotton;90122;35634;78007;synthesize Mountains Practical
3;mesh distributed;Optimization bluetooth;63878;43508;25527;deposit solutions
4;software Interactions programming;Program Colombian generating;81872;2957;29419;invoice PCI
5;Architect Buckinghamshire;COM;90791;2860;66163;Implementation payment architect
6;interface Cheese invoice;1080p Forge Auto;25134;93848;94138;teal
7;transmitting;e-business Car;53614;97611;48410;Uzbekistan Fiji Specialist
8;Soap Islands;Chair Mouse Card;55940;19110;46539;scale New
9;Analyst;bypassing Vision-oriented;99256;81650;65465;Cambridgeshire time-frame Implementation
10;Cambridgeshire;bandwidth;24940;96281;15449;Pula Nevada
